id,topic,question,option_a,option_b,option_c,option_d,correct_letter,correct_text,explanation
53,Overcurrent (43),The breaking capacity of a protective device must be:,Less than the prospective fault current at that point,Equal to or greater than the prospective fault current at that point (or backed up per 434.5.1),Ignored if an RCD is fitted,Only relevant for three-phase circuits,B,Equal to or greater than the prospective fault current at that point (or backed up per 434.5.1),
54,Overcurrent (43),"A ""distribution circuit"" (as opposed to a final circuit) is one that:",Directly supplies current-using equipment only,Connects the origin (or a distribution board) to another board/consumer unit supplying final circuits,Only exists in industrial premises,Cannot exceed 32A,B,Connects the origin (or a distribution board) to another board/consumer unit supplying final circuits,
55,Overcurrent (43),"Overload protection may be omitted (433.3) only where, for example:","Consequences of overload are negligible/unlikely, under the specific conditions BS 7671 lists",Never — overload protection is always mandatory with no exceptions,The circuit supplies socket outlets,The customer requests it in writing,A,"Consequences of overload are negligible/unlikely, under the specific conditions BS 7671 lists",
56,Overcurrent (43),Table 43.1 provides:,Voltage drop limits,k-values for the adiabatic equation by conductor/insulation/joint,Zs values for RCDs,Cable colour codes,B,k-values for the adiabatic equation by conductor/insulation/joint,
57,Overcurrent (43),"For a tinned soldered joint in copper with 60°C thermosetting insulation, a commonly referenced k-value example is around:",76,94,122,143,C,122,Exact k-values depend on the specific combination — confirm against the current Table 43.1.
58,"Switching, Isolation & SPDs",Surge Protective Devices (SPDs) protect against:,Overload current only,"Transient overvoltages (e.g. lightning, switching events)",Undervoltage only,Harmonic distortion only,B,"Transient overvoltages (e.g. lightning, switching events)",
59,"Switching, Isolation & SPDs",A risk assessment (or the simplified method) determines:,The colour of cables required,Whether SPDs are required for a given installation,The size of the consumer unit only,Whether RCDs are needed,B,Whether SPDs are required for a given installation,
60,"Switching, Isolation & SPDs",A mechanical maintenance switch (537.3.2.4) must be capable of:,Being operated remotely only,"Being secured OFF (locking, or removal of a fuse/link) to prevent unintended reclosure",Switching under full load only,Isolating the neutral only,B,"Being secured OFF (locking, or removal of a fuse/link) to prevent unintended reclosure",
61,"Switching, Isolation & SPDs",A means of isolation must:,Never be needed if an RCD is fitted,"Disconnect all live supply conductors of the relevant part, and be identifiable and accessible",Only isolate the line conductor,Only be fitted at the main switchboard,B,"Disconnect all live supply conductors of the relevant part, and be identifiable and accessible",
62,"Switching, Isolation & SPDs",A functional switch (e.g. a light switch) is used to:,Provide isolation for maintenance,Control normal operation without necessarily disconnecting all poles,Provide overcurrent protection,Provide fault protection,B,Control normal operation without necessarily disconnecting all poles,
63,"Switching, Isolation & SPDs",Emergency switching devices must operate:,"Slowly, to avoid arcing","Rapidly, by a single action, to remove danger",Only after a time delay,Only when the RCD also trips,B,"Rapidly, by a single action, to remove danger",
64,"Switching, Isolation & SPDs",A switch used for isolation should be installed so that it:,Cannot be inadvertently or accidentally operated by unauthorised persons while isolated,Automatically resets after 30 minutes,Only isolates during working hours,Requires no marking or identification,A,Cannot be inadvertently or accidentally operated by unauthorised persons while isolated,
65,"Switching, Isolation & SPDs",Firefighter's switches (e.g. for discharge-tube signage) are typically:,"Coloured red, accessible to the fire service, with an indicator lamp",Coloured blue with no marking,Located inside a locked switch room only,Not required under BS 7671,A,"Coloured red, accessible to the fire service, with an indicator lamp",
66,"Switching, Isolation & SPDs",BS EN 61439-6 relates to:,Cable colour identification,Busbar trunking systems,RCD test procedures,Insulation resistance testing,B,Busbar trunking systems,
67,Cables & Volt Drop (52),A cable's current-carrying capacity (Iz) is derived from the tabulated value (It) by applying:,"Rating factors for ambient temperature, grouping, thermal insulation etc.",Only the length of the cable,The colour of the cable,The supply voltage only,A,"Rating factors for ambient temperature, grouping, thermal insulation etc.",
68,Cables & Volt Drop (52),A cable in an ambient temperature above the tabulated reference has its capacity:,Increased,"Reduced, via an ambient temperature factor (Ca) less than 1",Unaffected,Doubled,B,"Reduced, via an ambient temperature factor (Ca) less than 1",
69,Cables & Volt Drop (52),A grouping rating factor (Cg) is applied because:,"Grouped cables mutually heat each other, reducing safe current per cable",Grouping always increases capacity,Grouping has no thermal effect,Only three-phase cables are affected,A,"Grouped cables mutually heat each other, reducing safe current per cable",
70,Cables & Volt Drop (52),A cable fully surrounded by thermal insulation has its capacity:,"Increased, since insulation retains heat usefully",Significantly reduced — a thermal insulation factor (Ci) less than 1 applies,Unaffected,Only relevant for SWA cable,B,Significantly reduced — a thermal insulation factor (Ci) less than 1 applies,
71,Cables & Volt Drop (52),"For a 90°C cable at reference ambient 30°C, installed at 40°C, Ca is calculated using:",Ca = (θz−θa)/(θz−θref),Ca = √[(θz−θa)/(θz−θref)],Ca = θz/θa,Ca = θref−θa,B,Ca = √[(θz−θa)/(θz−θref)],Here: √[(90−40)/(90−30)] = √(50/60) ≈ 0.91.
72,Cables & Volt Drop (52),"The recommended maximum voltage drop, origin to load point, for a low-voltage public supply, is generally:","3% for lighting, 5% for other uses",1% for all circuits,10% for all circuits,"5% for lighting, 3% for other uses",A,"3% for lighting, 5% for other uses",
73,Cables & Volt Drop (52),Voltage drop in a cable run is approximately calculated using:,mV/A/m × Ib × length(m) / 1000,Ib × csa only,length × csa,"It can only be measured, not calculated",A,mV/A/m × Ib × length(m) / 1000,
74,Cables & Volt Drop (52),"Using mV/A/m=18, Ib=20A, length=15m, the approximate voltage drop is:",1.8V,5.4V,18V,27V,B,5.4V,(18×20×15)/1000 = 5.4V.
75,Cables & Volt Drop (52),The minimum copper line conductor csa generally quoted for a fixed power circuit is:,1.0 mm²,1.5 mm²,2.5 mm²,4.0 mm²,C,2.5 mm²,1.5mm² is typical for lighting; 2.5mm² is the common general minimum for power — always check the specific circuit and exceptions.
76,Cables & Volt Drop (52),"A cable through a timber joist, outside a permitted safe zone, must (522.6.201) be:",At any depth without restriction,"At least 50mm from the top/bottom of the joist, or otherwise protected against damage",Painted red for visibility,Run only in steel conduit,B,"At least 50mm from the top/bottom of the joist, or otherwise protected against damage",
77,Cables & Volt Drop (52),"A cable in a wall at less than 50mm depth, outside a safe zone, generally requires:",No additional protection,"Additional protection, typically 30mA RCD or robust mechanical protection",A different cable colour,A minimum csa of 10mm²,B,"Additional protection, typically 30mA RCD or robust mechanical protection",
78,Cables & Volt Drop (52),Safe zones for cables in walls are generally defined as bands:,"Within 150mm of a wall/ceiling junction or corner, or running directly to/from an accessory",Only at the centre of the wall,At floor level only,There are no defined safe zones,A,"Within 150mm of a wall/ceiling junction or corner, or running directly to/from an accessory",
79,Cables & Volt Drop (52),"For a single-phase a.c. installation, the line conductor core colour is:",Blue,Brown,Green/yellow,Black,B,Brown,
80,Cables & Volt Drop (52),The protective (earth) conductor is identified by:,Brown insulation,Blue insulation,Green-and-yellow bi-colour combination,Black insulation,C,Green-and-yellow bi-colour combination,
81,Cables & Volt Drop (52),"For a DC circuit, the colour identification for the positive conductor (L+) is:",Blue,Grey,Brown,Black,C,Brown,DC positive is Brown; DC negative is Grey.
82,Earthing & Bonding (54),"In a TN-S system, the earth path back to source is provided by:",A separate local earth electrode only,The metallic sheath/armour of the supply cable,A PEN conductor,There is no earth path,B,The metallic sheath/armour of the supply cable,
83,Earthing & Bonding (54),"In a TN-C-S system, within the installation the neutral and protective functions are:",Combined throughout,Combined only on the supply side (PEN); separated into N and cpc within the installation,Never combined anywhere,Provided by a local electrode,B,Combined only on the supply side (PEN); separated into N and cpc within the installation,
84,Earthing & Bonding (54),Main protective bonding connects extraneous-conductive-parts to:,The neutral bar directly,The main earthing terminal,The nearest socket outlet,Nothing — it's optional,B,The main earthing terminal,
85,Earthing & Bonding (54),The minimum copper-equivalent csa for main protective bonding per Table 54.8 is:,2.5 mm²,6 mm²,10 mm²,16 mm²,B,6 mm²,"6mm² is the BS 7671 table minimum, though DNOs often specify 10mm² in practice on PME supplies."
86,Earthing & Bonding (54),Supplementary bonding conductors NOT mechanically protected need a minimum csa of:,1.5 mm²,2.5 mm²,4 mm²,6 mm²,C,4 mm²,
87,Earthing & Bonding (54),Supplementary bonding conductors that ARE mechanically protected need a minimum csa of:,1.0 mm²,2.5 mm²,4 mm²,6 mm²,B,2.5 mm²,
88,Earthing & Bonding (54),A warning notice at a bonding connection should read:,"""Danger – Live Parts""","""Safety Electrical Connection – Do Not Remove""","""Earth – Test Point Only""","""Isolate Before Use""",B,"""Safety Electrical Connection – Do Not Remove""",
89,Earthing & Bonding (54),Zs = Ze + (R1+R2) means:,Zs is independent of the circuit's protective conductor resistance,Total loop impedance = external impedance + line and cpc resistance within the circuit,R1 and R2 refer to two separate earth electrodes,Ze is measured after the circuit is wired,B,Total loop impedance = external impedance + line and cpc resistance within the circuit,
90,Earthing & Bonding (54),Which system relies on the general mass of earth rather than a metallic path back to the source?,TN-S,TN-C-S,TT,None — all use a local electrode,C,TT,
91,Earthing & Bonding (54),A PEN conductor is:,"A conductor combining protective conductor and neutral functions, used by the DNO in PME systems",A type of bonding conductor only,Only used in TT systems,A conductor used exclusively in SELV circuits,A,"A conductor combining protective conductor and neutral functions, used by the DNO in PME systems",
92,Earthing & Bonding (54),"Under an ""open PEN"" fault on a PME supply, exposed-conductive-parts can become:",Completely safe with no risk,Live at a dangerous voltage relative to true earth,Automatically disconnected instantly with no further action,Irrelevant to the design,B,Live at a dangerous voltage relative to true earth,
93,Earthing & Bonding (54),Which is generally NOT acceptable as the sole means of earthing for a TT installation?,A driven earth rod/electrode,An earth mat or plate electrode,Reliance on the metallic water service pipe alone,A properly designed earth electrode system,C,Reliance on the metallic water service pipe alone,
94,Earthing & Bonding (54),"Bonding of simultaneously-accessible exposed and extraneous parts, beyond main bonding, is called:",Main protective bonding,Supplementary (equipotential) bonding,Functional earthing,Isolation,B,Supplementary (equipotential) bonding,
95,Earthing & Bonding (54),"Functional earthing (Section 545, revised by A4) is provided:",For electric shock protection only,"For correct equipment operation and EMC, distinct from protective earthing",Only in agricultural locations,"Instead of protective earthing, replacing it",B,"For correct equipment operation and EMC, distinct from protective earthing",
96,Inspection & Testing (Pt 6),Initial verification of a new installation comprises:,Inspection only,Testing only,"Inspection followed by testing (dead tests, then live tests)",A visual check by the customer,C,"Inspection followed by testing (dead tests, then live tests)",
97,Inspection & Testing (Pt 6),Which test is normally carried out FIRST in the dead-test sequence?,Earth fault loop impedance,Continuity of protective conductors (incl. bonding),RCD operation,Insulation resistance,B,Continuity of protective conductors (incl. bonding),
98,Inspection & Testing (Pt 6),A ring final circuit continuity test (figure-of-eight method) confirms:,The RCD operates correctly,"No breaks or crossed connections in the ring, and correct polarity at each outlet",Voltage drop only,Earth electrode resistance,B,"No breaks or crossed connections in the ring, and correct polarity at each outlet",
99,Inspection & Testing (Pt 6),Insulation resistance testing on a circuit up to 500V is typically carried out at:,"250V, minimum 0.5 MΩ","500V DC, minimum 1.0 MΩ","1000V, minimum 1.0 MΩ","50V, minimum 2.0 MΩ",B,"500V DC, minimum 1.0 MΩ",
100,Inspection & Testing (Pt 6),"For SELV/PELV circuits, insulation resistance testing is typically carried out at:","250V DC, minimum 0.5 MΩ","500V DC, minimum 1.0 MΩ","1000V DC, minimum 2.0 MΩ",No test is required,A,"250V DC, minimum 0.5 MΩ",
101,Inspection & Testing (Pt 6),"Before insulation resistance testing, you should typically:",Nothing extra is needed,Disconnect/isolate voltage-sensitive electronics that could be damaged by the test voltage,Switch all RCDs to test position,Remove all fuses only,B,Disconnect/isolate voltage-sensitive electronics that could be damaged by the test voltage,
102,Inspection & Testing (Pt 6),Polarity verification confirms that:,The voltage is correct,"Single-pole devices switch the line conductor, and lampholder centre-pins connect to line not neutral",The RCD trips within the correct time,Cable colour matches wall colour,B,"Single-pole devices switch the line conductor, and lampholder centre-pins connect to line not neutral",
103,Inspection & Testing (Pt 6),Ze (external earth fault loop impedance) is measured:,"With main switch closed, main bonding in place, and the earthing conductor temporarily disconnected from the MET",With the supply completely disconnected,Only at socket outlets,"It cannot be measured, only calculated",A,"With main switch closed, main bonding in place, and the earthing conductor temporarily disconnected from the MET",
104,Inspection & Testing (Pt 6),A general-purpose RCD tested at its rated residual current (IΔn) should disconnect within:,40ms,300ms,1s,5s,B,300ms,
105,Inspection & Testing (Pt 6),"The same RCD, tested at 5×IΔn, should disconnect within:",40ms,150ms,300ms,500ms,A,40ms,
106,Inspection & Testing (Pt 6),An Electrical Installation Certificate (EIC) is used for:,Periodic inspection of an existing installation,"New installation work, or an addition/alteration including a new circuit",Minor alterations not involving a new circuit,PAT testing,B,"New installation work, or an addition/alteration including a new circuit",
107,Inspection & Testing (Pt 6),A Minor Electrical Installation Works Certificate is appropriate for:,A brand-new consumer unit installation,Additions/alterations that do NOT include a new circuit,A full rewire,Any periodic inspection,B,Additions/alterations that do NOT include a new circuit,
108,Inspection & Testing (Pt 6),An Electrical Installation Condition Report (EICR) is used to:,Certify new installation work,Report on the condition of an existing installation following periodic inspection,Replace the need for an EIC on new work,Certify PAT-tested appliances,B,Report on the condition of an existing installation following periodic inspection,
109,Inspection & Testing (Pt 6),"Observation code ""C1"" on an EICR means:",Improvement recommended,Potentially dangerous — urgent remedial action required,Danger present — immediate remedial action required,Further investigation required,C,Danger present — immediate remedial action required,
110,Inspection & Testing (Pt 6),"Observation code ""C2"" on an EICR means:",Danger present — immediate action required,Potentially dangerous — urgent remedial action required,"Improvement recommended, not presently dangerous","Compliant, no action needed",B,Potentially dangerous — urgent remedial action required,
111,Inspection & Testing (Pt 6),"Observation code ""FI"" on an EICR indicates:","""Fully Inspected"" — a pass code",Further investigation required without delay,The installation failed entirely,The fuse is incorrect,B,Further investigation required without delay,
112,Inspection & Testing (Pt 6),The typical maximum recommended interval before the next EICR for an owner-occupied domestic dwelling is generally:,1 year,3 years,"10 years, or at change of occupancy",25 years,C,"10 years, or at change of occupancy",
113,Inspection & Testing (Pt 6),"Under the Electrical Safety Standards in the Private Rented Sector Regulations, landlords in England must have an EICR at intervals not exceeding:",1 year,"5 years, or sooner as required",10 years,There is no requirement,B,"5 years, or sooner as required",
114,Special Locations (Pt 7),"In a bathroom (701), Zone 0 is defined as:",The area more than 3m from the bath,The interior of the bath tub or shower basin itself,The whole bathroom floor,Only the area under the sink,B,The interior of the bath tub or shower basin itself,
115,Special Locations (Pt 7),Zone 1 in a bathroom extends broadly to:,"Above zone 0 up to 2.25m from the floor, within the bath/shower boundary",The entire room,3m in every direction,Only above the shower head,A,"Above zone 0 up to 2.25m from the floor, within the bath/shower boundary",
116,Special Locations (Pt 7),The minimum IP rating required for equipment in Zone 0 of a bathroom is:,IPX4,IPX5,IPX7,No rating required,C,IPX7,
117,Special Locations (Pt 7),"Supplementary bonding in a bathroom may be omitted, provided (among other conditions):",The room has a window,"All final circuits meet 411.3.2 disconnection times, have 30mA RCD protection, and main bonding is in place",The homeowner agrees in writing,It may never be omitted,B,"All final circuits meet 411.3.2 disconnection times, have 30mA RCD protection, and main bonding is in place",
118,Special Locations (Pt 7),"In a swimming pool location (702), Zone 0 covers:",The interior of the pool basin,The whole pool hall,A 2m perimeter around the pool,Only underwater lighting,A,The interior of the pool basin,
119,Special Locations (Pt 7),"For a pool with a diving board, Zone 1 typically extends vertically above the board to around:",1.0m,1.5m,2.5m,4.0m,C,2.5m,
120,Special Locations (Pt 7),"In a sauna (703), Zone 1 is generally the space:",More than 2m above the floor,"From floor level up to around 1.0m, near the heater",Only inside the heater casing,Outside the sauna cabin,B,"From floor level up to around 1.0m, near the heater",
121,Special Locations (Pt 7),Sauna Zone 3 generally starts:,At floor level,Above around the 1.0m mark,Only above 3m,There is no Zone 3 in saunas,B,Above around the 1.0m mark,
